key,value,is_todo,provenance
commit_timeline.rows[0].n,4,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[1].date,2026-03-12,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[1].n,1,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[2].date,2026-06-13,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[2].n,4,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[3].date,2026-06-14,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[3].n,2,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[4].date,2026-06-15,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[4].n,2,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[5].date,2026-06-23,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[5].n,3,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[6].date,2026-06-25,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[6].n,9,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[7].date,2026-07-02,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[7].n,4,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[8].date,2026-07-23,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[8].n,5,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[9].date,2026-07-24,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[9].n,2,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[10].date,2026-07-25,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[10].n,1,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[11].date,2026-08-10,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
commit_timeline.rows[11].n,4,0,per-date counts aggregated from the 41-commit HEAD-only corpus list (same git log command as 'corpus')
decode_progression.first_published_tok_s,145,0,"gerbil git show f6ef90a: paper.tex abstract headline '145 tok/s Dawn M4 Max'; be48302 subject 'refresh decode-throughput progression to 347.3 tok/s kept peak'. The March engineering-reference doc carried only a projected 100-180 tok/s, so the progression is scoped to the LaTeX paper's lifetime, not the full case-study window. Verified by review pass 2026-08-25 (finding #E1)."
decode_progression.final_kept_peak_tok_s,347.3,0,"gerbil git show f6ef90a: paper.tex abstract headline '145 tok/s Dawn M4 Max'; be48302 subject 'refresh decode-throughput progression to 347.3 tok/s kept peak'. The March engineering-reference doc carried only a projected 100-180 tok/s, so the progression is scoped to the LaTeX paper's lifetime, not the full case-study window. Verified by review pass 2026-08-25 (finding #E1)."
decode_progression.ratio,2.4x,0,"gerbil git show f6ef90a: paper.tex abstract headline '145 tok/s Dawn M4 Max'; be48302 subject 'refresh decode-throughput progression to 347.3 tok/s kept peak'. The March engineering-reference doc carried only a projected 100-180 tok/s, so the progression is scoped to the LaTeX paper's lifetime, not the full case-study window. Verified by review pass 2026-08-25 (finding #E1)."
decode_progression.window,"the LaTeX paper's lifetime, 2026-06-23 (f6ef90a) to 2026-08-10 (be48302), ~7 weeks",0,"gerbil git show f6ef90a: paper.tex abstract headline '145 tok/s Dawn M4 Max'; be48302 subject 'refresh decode-throughput progression to 347.3 tok/s kept peak'. The March engineering-reference doc carried only a projected 100-180 tok/s, so the progression is scoped to the LaTeX paper's lifetime, not the full case-study window. Verified by review pass 2026-08-25 (finding #E1)."
ledger_growth.rows_added,240,0,derived from todo_history rows below: 258 -> 498 total rows between 2026-06-23 and 2026-08-10 (~6.9 weeks); ~150 rows/month over the ledger's lifetime. Corrected from an unledgered ~50/month figure by review finding #E2.
ledger_growth.window_weeks,7,0,derived from todo_history rows below: 258 -> 498 total rows between 2026-06-23 and 2026-08-10 (~6.9 weeks); ~150 rows/month over the ledger's lifetime. Corrected from an unledgered ~50/month figure by review finding #E2.
ledger_growth.approx_rows_per_month,150,0,derived from todo_history rows below: 258 -> 498 total rows between 2026-06-23 and 2026-08-10 (~6.9 weeks); ~150 rows/month over the ledger's lifetime. Corrected from an unledgered ~50/month figure by review finding #E2.
todo_history.rows[0].date,2026-06-23,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[0].sha,f6ef90a,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[0].total_rows,258,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[0].todo_rows,16,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[1].date,2026-06-25,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[1].sha,d574f8d,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[1].total_rows,287,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[1].todo_rows,18,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[2].date,2026-06-25,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[2].sha,e98ad75,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[2].total_rows,331,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[2].todo_rows,12,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[3].date,2026-07-02,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[3].sha,673ad93,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[3].total_rows,348,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[3].todo_rows,12,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[4].date,2026-07-02,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[4].sha,6a72bb1,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[4].total_rows,359,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[4].todo_rows,12,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[5].date,2026-07-02,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[5].sha,946855c,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[5].total_rows,405,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[5].todo_rows,12,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[6].date,2026-07-23,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[6].sha,e4a250d,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[6].total_rows,447,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[6].todo_rows,8,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[7].date,2026-08-10,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[7].sha,be48302,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[7].total_rows,498,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
todo_history.rows[7].todo_rows,8,0,"git log --follow -- paper/results/measurements.csv (8 versions); per sha: git show <sha>:paper/results/measurements.csv parsed with python3 csv.reader (285 rows contain quoted commas, so naive comma counting miscounts); todo = rows whose is_todo field is the string 'TODO'. NOTE semantics (review finding #E3): total_rows INCLUDES the todo_rows; sourced rows = total_rows - todo_rows (242 -> 490). Cross-checked against the build's own 'N curated rows (M TODO)' output at HEAD."
review_evidence.review_commits,4,0,corpus git log subjects+bodies piped to grep -Ei '#(E|D|A|C|H)[0-9]|review'; bodies added nothing beyond subjects
review_evidence.numbered_finding_ids,"#A1, #D1, #D2, #E1-#E7",0,corpus git log subjects+bodies piped to grep -Ei '#(E|D|A|C|H)[0-9]|review'; bodies added nothing beyond subjects
review_evidence.finding_lenses_never_used,"#C (citations), #H (honesty) — no such ids appear anywhere in the log",0,corpus git log subjects+bodies piped to grep -Ei '#(E|D|A|C|H)[0-9]|review'; bodies added nothing beyond subjects
review_evidence.example_subjects[0],paper: qualify causal claim in abstract+contributions (review #E1/E3/E4),0,corpus git log subjects+bodies piped to grep -Ei '#(E|D|A|C|H)[0-9]|review'; bodies added nothing beyond subjects
review_evidence.example_subjects[1],"paper: reframe head-to-head as same-base-model native-format ... (review #E1-E7,#D1,#D2)",0,corpus git log subjects+bodies piped to grep -Ei '#(E|D|A|C|H)[0-9]|review'; bodies added nothing beyond subjects
review_evidence.example_subjects[2],"paper: TTS status ... + Limitations honesty pass (review #A1,#D2)",0,corpus git log subjects+bodies piped to grep -Ei '#(E|D|A|C|H)[0-9]|review'; bodies added nothing beyond subjects
snapshot_head.measurements_csv_rows,498,0,"at gerbil HEAD 2026-08-25: python3 csv.reader over paper/results/measurements.csv (498 data rows, 8 with is_todo=='TODO'); grep -c '^@' paper/refs.bib; wc -l paper/paper.tex; grep -o 'todo{' paper/paper.tex | wc -l; ls paper/figures/*.svg | wc -l; mdls -name kMDItemNumberOfPages paper/paper.pdf"
snapshot_head.measurements_csv_todo_rows,8,0,"at gerbil HEAD 2026-08-25: python3 csv.reader over paper/results/measurements.csv (498 data rows, 8 with is_todo=='TODO'); grep -c '^@' paper/refs.bib; wc -l paper/paper.tex; grep -o 'todo{' paper/paper.tex | wc -l; ls paper/figures/*.svg | wc -l; mdls -name kMDItemNumberOfPages paper/paper.pdf"
snapshot_head.refs_bib_entries,51,0,"at gerbil HEAD 2026-08-25: python3 csv.reader over paper/results/measurements.csv (498 data rows, 8 with is_todo=='TODO'); grep -c '^@' paper/refs.bib; wc -l paper/paper.tex; grep -o 'todo{' paper/paper.tex | wc -l; ls paper/figures/*.svg | wc -l; mdls -name kMDItemNumberOfPages paper/paper.pdf"
snapshot_head.paper_tex_lines,1365,0,"at gerbil HEAD 2026-08-25: python3 csv.reader over paper/results/measurements.csv (498 data rows, 8 with is_todo=='TODO'); grep -c '^@' paper/refs.bib; wc -l paper/paper.tex; grep -o 'todo{' paper/paper.tex | wc -l; ls paper/figures/*.svg | wc -l; mdls -name kMDItemNumberOfPages paper/paper.pdf"
snapshot_head.todo_macros_in_tex,4,0,"at gerbil HEAD 2026-08-25: python3 csv.reader over paper/results/measurements.csv (498 data rows, 8 with is_todo=='TODO'); grep -c '^@' paper/refs.bib; wc -l paper/paper.tex; grep -o 'todo{' paper/paper.tex | wc -l; ls paper/figures/*.svg | wc -l; mdls -name kMDItemNumberOfPages paper/paper.pdf"
snapshot_head.figure_svgs,9,0,"at gerbil HEAD 2026-08-25: python3 csv.reader over paper/results/measurements.csv (498 data rows, 8 with is_todo=='TODO'); grep -c '^@' paper/refs.bib; wc -l paper/paper.tex; grep -o 'todo{' paper/paper.tex | wc -l; ls paper/figures/*.svg | wc -l; mdls -name kMDItemNumberOfPages paper/paper.pdf"
snapshot_head.pdf_pages,17,0,"at gerbil HEAD 2026-08-25: python3 csv.reader over paper/results/measurements.csv (498 data rows, 8 with is_todo=='TODO'); grep -c '^@' paper/refs.bib; wc -l paper/paper.tex; grep -o 'todo{' paper/paper.tex | wc -l; ls paper/figures/*.svg | wc -l; mdls -name kMDItemNumberOfPages paper/paper.pdf"
build.wall_seconds,4.699,0,"time (cd gerbil/paper && ./build.sh) run once 2026-08-25; succeeded, 401.6 KiB PDF; n=1, warm cache — indicative, not a benchmark"
build.runs,1,0,"time (cd gerbil/paper && ./build.sh) run once 2026-08-25; succeeded, 401.6 KiB PDF; n=1, warm cache — indicative, not a benchmark"
build.engine,tectonic (warm package cache),0,"time (cd gerbil/paper && ./build.sh) run once 2026-08-25; succeeded, 401.6 KiB PDF; n=1, warm cache — indicative, not a benchmark"
build.consolidation_rows,498,0,"time (cd gerbil/paper && ./build.sh) run once 2026-08-25; succeeded, 401.6 KiB PDF; n=1, warm cache — indicative, not a benchmark"
build.figure_series,9,0,"time (cd gerbil/paper && ./build.sh) run once 2026-08-25; succeeded, 401.6 KiB PDF; n=1, warm cache — indicative, not a benchmark"
build.corpora_cleaning_example,"gemma corpus: 504 rows kept, 29 adversarial/failed dropped (logged by the build)",0,"time (cd gerbil/paper && ./build.sh) run once 2026-08-25; succeeded, 401.6 KiB PDF; n=1, warm cache — indicative, not a benchmark"
sync_lag.max_nonpaper_commits_between_syncs,117,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.max_gap_days,16,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[0].curr_date,2026-08-10,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[0].curr,5e33e19,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
sync_lag.rows[0].prev,05c3e08,0,for consecutive paper-commit pairs (last 15): git rev-list --count prev..curr and same with ':(exclude)paper' ':(exclude)docs/gpu-engine/paper.md' ':(exclude)docs/research-paper-plan.md' ':(exclude)docs/paper-ablation-plan.md'. UPPER BOUND: a commit touching both paper and code counts as non-paper.
